realisation,dbottom,dhyp,dip,dtop,hdepth,hlat,hlon,is_point_source,length,mag,rake,shyp,strike,tect_type,width,zbot,ztor
SFiordMg13_REL27,18.02198188012341,13.7903,80.0,0.0,13.3102,-45.375778,166.644745,False,14.133333333333333,7.10906789242139,-60.18965962291958,-5.7809,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL11,18.02198188012341,3.4082,80.0,0.0,3.33966,-45.356537,166.638168,False,14.133333333333333,6.7353919407058775,-41.1858928286651,-4.7914,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL08,18.02198188012341,6.7494,80.0,0.0,6.53412,-45.336197,166.67128,False,14.133333333333333,6.845396279988355,-16.290500058813905,-1.299,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL03,18.02198188012341,4.0716,80.0,0.0,3.92047,-45.309357,166.695007,False,14.133333333333333,7.082198041457289,-55.81176646609498,2.1776,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL06,18.02198188012341,8.533,80.0,0.0,8.27655,-45.325851,166.688446,False,14.133333333333333,6.925519190609318,-66.99504672736238,0.5131,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL20,18.02198188012341,10.2383,80.0,0.0,9.92065,-45.390366,166.618027,False,14.133333333333333,6.76237354638934,-24.079747943583413,-8.3939,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL01,18.02198188012341,8.016,80.0,0.0,7.6646,-45.275818,166.745163,False,14.133333333333333,7.052708026770523,-44.74947604701464,7.6015,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL07,18.02198188012341,10.5295,80.0,0.0,10.211,-45.380997,166.629807,False,14.133333333333333,6.952049490416801,-21.84950463367113,-7.034,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL28,18.02198188012341,8.5474,80.0,0.0,8.27527,-45.386246,166.618027,False,14.133333333333333,7.068062267602247,-40.15431809926156,-8.128,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL25,18.02198188012341,4.8536,80.0,0.0,4.69488,-45.287399,166.722885,False,14.133333333333333,6.881908335373037,-9.348465171702657,5.446,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL18,18.02198188012341,12.3548,80.0,0.0,11.955,-45.335251,166.688202,False,14.133333333333333,7.045002345057711,-58.89766069372754,-0.1877,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL21,18.02198188012341,7.0355,80.0,0.0,6.82452,-45.374725,166.62706,False,14.133333333333333,7.1131483549755625,-70.50066647206074,-6.7823,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL16,18.02198188012341,12.1465,80.0,0.0,11.7614,-45.285706,166.745453,False,14.133333333333333,6.7253208428440425,-22.41082518693122,7.039,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL22,18.02198188012341,13.0996,80.0,0.0,12.6326,-45.290237,166.742676,False,14.133333333333333,6.927664884816892,-52.832927622173536,6.5138,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL04,18.02198188012341,10.243,80.0,0.0,9.92065,-45.384109,166.62532,False,14.133333333333333,7.129780445248194,-57.74280944009866,-7.4987,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL24,18.02198188012341,11.9865,80.0,0.0,11.5678,-45.28894,166.741119,False,14.133333333333333,6.697235412162072,-32.032650407278254,6.4643,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL12,18.02198188012341,7.8946,80.0,0.0,7.69574,-45.314026,166.700577,False,14.133333333333333,7.022486814404268,-45.96875906478547,2.1485,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL10,18.02198188012341,9.3907,80.0,0.0,9.05096,-45.348328,166.664444,False,14.133333333333333,6.9196366322134635,-17.442671978530967,-2.5912,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL15,18.02198188012341,7.3304,80.0,0.0,7.11493,-45.316086,166.696472,False,14.133333333333333,7.109099073061566,-48.86742243232152,1.782,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL26,18.02198188012341,6.3026,80.0,0.0,6.14691,-45.324615,166.683701,False,14.133333333333333,6.996646231309789,-30.00241702848561,0.3329,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL02,18.02198188012341,11.506,80.0,0.0,11.0838,-45.353607,166.6642,False,14.133333333333333,6.614862823962648,-65.95288714957866,-2.9957,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL09,18.02198188012341,10.0311,80.0,0.0,9.72857,-45.323486,166.695465,False,14.133333333333333,6.955639512992962,-46.68279388847759,1.1915,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL14,18.02198188012341,6.0684,80.0,0.0,5.85651,-45.331177,166.675156,False,14.133333333333333,6.818969265314273,-45.33197841409557,-0.6985,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL17,18.02198188012341,12.3213,80.0,0.0,11.955,-45.316498,166.710083,False,14.133333333333333,7.102707869826688,-24.532683595468374,2.542,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL05,18.02198188012341,13.798,80.0,0.0,13.3102,-45.343857,166.682083,False,14.133333333333333,7.053483255747483,-41.15139460757419,-1.1138,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL23,18.02198188012341,6.5826,80.0,0.0,6.33954,-45.378296,166.621658,False,14.133333333333333,6.756057207639447,-30.16381337377516,-7.3477,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL19,18.02198188012341,11.5403,80.0,0.0,10.997,-45.260208,166.77002,False,14.133333333333333,6.706239672178742,-39.389584878050755,10.352,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
SFiordMg13_REL13,18.02198188012341,13.6407,80.0,0.0,13.2134,-45.349991,166.674637,False,14.133333333333333,7.101004147570799,-53.15211240065696,-2.0839,37.666666666666664,ACTIVE_SHALLOW,18.3,18.02198188012341,0.0
CardronaN_REL21,18.01332839871632,18.392,60.0,0.0,15.6117,-44.645218,169.08223,False,17.2,6.971757017759228,48.08781668362221,-0.2604,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL09,18.01332839871632,11.3401,60.0,0.0,9.6563,-44.675217,169.103165,False,17.2,6.790638238752818,36.048890607789595,1.8114,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL06,18.01332839871632,11.426,60.0,0.0,9.74138,-44.672958,169.105087,False,17.2,6.56967544607673,81.10830998459181,1.5423,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL15,18.01332839871632,11.6451,60.0,0.0,9.91153,-44.642578,169.140289,False,17.2,6.9947508701001295,38.05472888604692,-2.8923,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL03,18.01332839871632,12.2938,60.0,0.0,10.422,-44.684097,169.085037,False,17.2,6.735783618806408,51.1848760398141,3.4201,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL14,18.01332839871632,2.0985,60.0,0.0,1.82917,-44.719711,169.124603,False,17.2,6.661390179752058,39.02183866975986,5.3519,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL25,18.01332839871632,15.0956,60.0,0.0,12.8042,-44.636307,169.120056,False,17.2,7.028215432415048,23.50077276952274,-2.7052,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL11,18.01332839871632,12.9308,60.0,0.0,11.0175,-44.681168,169.082855,False,17.2,6.8449665627557374,59.57316101923786,3.2225,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL02,18.01332839871632,14.0885,60.0,0.0,11.9534,-44.657608,169.102432,False,17.2,6.921725759882585,40.463007015157594,0.1174,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL05,18.01332839871632,9.7094,60.0,0.0,8.29506,-44.663177,169.13089,False,17.2,6.5882043899330105,35.92947406271179,-0.5218,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL04,18.01332839871632,11.1819,60.0,0.0,9.48615,-44.685867,169.091873,False,17.2,6.7092270143962764,7.364866735446924,3.3326,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL12,18.01332839871632,11.3083,60.0,0.0,9.6563,-44.647339,169.136978,False,17.2,6.796676600311309,36.128470824486435,-2.2507,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL10,18.01332839871632,15.849,60.0,0.0,13.4848,-44.622269,169.130524,False,17.2,7.037064958033384,49.200751246652715,-4.4919,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL27,18.01332839871632,10.2489,60.0,0.0,8.72045,-44.672928,169.11496,False,17.2,6.88452922792393,33.15757131117209,1.1676,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL24,18.01332839871632,10.845,60.0,0.0,9.38044,-44.608948,169.1828,False,17.2,6.616226804735294,62.37627581848354,-7.7876,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL18,18.01332839871632,18.5174,60.0,0.0,15.6968,-44.64975,169.075897,False,17.2,6.846806639076577,39.32513438759881,0.4574,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL07,18.01332839871632,17.8396,60.0,0.0,15.1863,-44.617096,169.120422,False,17.2,6.849069079791375,36.161849013232775,-4.6098,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL26,18.01332839871632,15.84,60.0,0.0,13.4848,-44.663757,169.080215,False,17.2,6.913106686994042,43.57863361962978,1.6749,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL17,18.01332839871632,17.0472,60.0,0.0,14.5057,-44.633179,169.107483,False,17.2,6.804138903725889,13.888841989761287,-2.4447,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL22,18.01332839871632,17.8226,60.0,0.0,15.1013,-44.652679,169.078079,False,17.2,6.6915145997873005,32.716776693800604,0.594,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL08,18.01332839871632,11.4469,60.0,0.0,9.74138,-44.700851,169.071243,False,17.2,6.609520953262996,64.99613986267485,5.6159,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL13,18.01332839871632,12.6873,60.0,0.0,10.7623,-44.679779,169.086975,False,17.2,6.6323345679169226,25.58715157337204,2.9825,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL19,18.01332839871632,12.1726,60.0,0.0,10.3369,-44.671387,169.101257,False,17.2,6.7273994948084495,45.828527106614615,1.5372,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL16,18.01332839871632,17.2499,60.0,0.0,14.6759,-44.632736,169.106384,False,17.2,6.831421678153873,25.752296465348877,-2.4757,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL01,18.01332839871632,19.9857,60.0,0.0,16.973,-44.628021,169.089981,False,17.2,7.082672257654213,41.11110500981738,-2.3103,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL23,18.01332839871632,10.3649,60.0,0.0,8.80552,-44.633942,169.161407,False,17.2,6.94209859973601,42.93110726750433,-4.6035,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaN_REL20,18.01332839871632,1.2216,60.0,0.0,1.06347,-44.67955,169.180695,False,17.2,6.570735810022332,69.78725676983764,-0.9054,214.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
RitchieR_REL22,5.013743355555006,4.2468,40.0,0.0,2.68411,-39.453018,178.406296,False,11.34,6.831646307905304,84.75429951444664,-7.7354,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL01,5.013743355555006,4.9803,40.0,0.0,3.1262,-39.463928,178.394379,False,11.34,6.783089971511678,82.23128026382597,-6.3106,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL18,5.013743355555006,6.8819,40.0,0.0,4.32615,-39.503647,178.357071,False,11.34,6.442388910423835,93.38012655418294,-1.2729,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL20,5.013743355555006,4.1844,40.0,0.0,2.62095,-39.482529,178.392746,False,11.34,6.566502929171814,100.12816714221594,-4.1967,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL12,5.013743355555006,3.0405,40.0,0.0,1.92624,-39.522507,178.383423,False,11.34,6.4151733385356975,111.27922372046179,0.3987,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL17,5.013743355555006,4.1144,40.0,0.0,2.62095,-39.516968,178.375824,False,11.34,6.7074251584163855,94.86614602040436,-0.0173,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL23,5.013743355555006,3.9004,40.0,0.0,2.49464,-39.473541,178.399033,False,11.34,6.799402919048022,108.55390186920431,-5.2954,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL07,5.013743355555006,1.8409,40.0,0.0,1.07161,-39.597229,178.417374,False,11.34,6.812193380769287,96.40243407333685,8.9236,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL16,5.013743355555006,6.9849,40.0,0.0,4.38931,-39.460709,178.377228,False,11.34,6.57865431568842,87.08154862921805,-6.423,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL06,5.013743355555006,3.0098,40.0,0.0,1.76671,-39.546478,178.388885,False,11.34,6.5901358298958375,111.2203841862275,3.15,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL11,5.013743355555006,3.2252,40.0,0.0,1.7526,-39.426407,178.436874,False,11.34,6.606998479572827,105.58140858806757,-11.3718,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL21,5.013743355555006,3.4822,40.0,0.0,1.99841,-39.578888,178.397324,False,11.34,6.347066129934782,107.60635144048337,7.0387,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL03,5.013743355555006,4.0677,40.0,0.0,2.34596,-39.602386,178.400864,False,11.34,6.933540498636942,83.62325517185393,9.7983,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL05,5.013743355555006,4.6425,40.0,0.0,2.6935,-39.583496,178.388977,False,11.34,6.622140895497794,104.85506950485716,7.6917,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL14,5.013743355555006,2.1951,40.0,0.0,1.421,-39.494888,178.40448,False,11.34,6.728484878352885,92.62178704630196,-2.9509,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL02,5.013743355555006,2.2805,40.0,0.0,1.36123,-39.537827,178.391571,False,11.34,6.397787190462575,85.83521095712098,2.0944,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL08,5.013743355555006,5.4404,40.0,0.0,3.1569,-39.579086,178.380692,False,11.34,6.624892566870963,77.74239542498593,7.2655,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL13,5.013743355555006,4.6555,40.0,0.0,2.6935,-39.580048,178.387726,False,11.34,6.8122714103204896,106.41691926439756,7.3375,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL19,5.013743355555006,4.6521,40.0,0.0,2.50756,-39.418167,178.432526,False,11.34,6.681381609871683,76.90669177074723,-12.3865,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL09,5.013743355555006,4.3038,40.0,0.0,2.68411,-39.4841,178.391037,False,11.34,6.716839062041707,106.32175996563377,-3.9601,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL10,5.013743355555006,2.286,40.0,0.0,1.36123,-39.544739,178.394089,False,11.34,6.44066093827791,61.97420588940668,2.8817,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL04,5.013743355555006,3.164,40.0,0.0,1.82463,-39.631119,178.418869,False,11.34,6.837424843756187,111.02048519488308,12.9901,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
RitchieR_REL15,5.013743355555006,6.4834,40.0,0.0,3.73615,-39.523392,178.352097,False,11.34,6.662875768971762,96.19813297838205,0.9616,196.0,ACTIVE_SHALLOW,7.8,5.013743355555006,0.0
Kakapo_REL13,15.0,8.1716,90.0,0.0,8.05052,-42.662659,172.350769,False,23.35,6.661710036617626,-12.350866356472721,-4.2718,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL10,15.0,6.0357,90.0,0.0,5.97615,-42.678329,172.30275,False,23.35,6.645682934218992,0.4757647378239085,0.0161,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL05,15.0,4.9412,90.0,0.0,4.88958,-42.68924,172.269226,False,23.35,6.885335074157558,-6.256729259623853,3.0238,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL21,15.0,4.3523,90.0,0.0,4.2969,-42.661942,172.353012,False,23.35,6.942254107426491,6.353597196397431,-4.5195,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL17,15.0,6.2721,90.0,0.0,6.17371,-42.697601,172.24353,False,23.35,6.921388945464067,6.080733524709103,5.3211,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL16,15.0,4.7815,90.0,0.0,4.69202,-42.675781,172.310577,False,23.35,6.8108211374775856,5.33695062744232,-0.7225,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL26,15.0,8.5727,90.0,0.0,8.44563,-42.677231,172.306107,False,23.35,6.93451749644461,16.134037949057728,-0.2681,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL01,15.0,5.25,90.0,0.0,5.18591,-42.668839,172.331787,False,23.35,6.659815835209218,-5.7612073388708325,-2.5722,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL08,15.0,7.2265,90.0,0.0,7.1615,-42.678696,172.301636,False,23.35,6.8232366142233785,18.089090922911282,0.1729,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL20,15.0,1.8973,90.0,0.0,1.9262,-42.696487,172.246872,False,23.35,6.770261757036475,19.530540189633342,5.0413,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL07,15.0,10.5952,90.0,0.0,10.4212,-42.671051,172.325089,False,23.35,7.011692661107618,-1.0444052388987188,-1.9688,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL15,15.0,3.3882,90.0,0.0,3.40789,-42.680145,172.297165,False,23.35,6.673931789260148,-2.987325499736613,0.5452,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL18,15.0,9.8458,90.0,0.0,9.72976,-42.694336,172.253586,False,23.35,6.720386629357224,5.954176392407646,4.4613,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL04,15.0,6.3508,90.0,0.0,6.27249,-42.692139,172.260284,False,23.35,6.585350838379984,4.040731059540917,3.8539,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL22,15.0,13.1084,90.0,0.0,12.3039,-42.702789,172.216995,False,23.35,6.7955287400287245,-3.4070577646878064,7.5352,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL02,15.0,14.077,90.0,0.0,13.8785,-42.684509,172.283752,False,23.35,6.849306567621085,-15.210504587957274,1.7781,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL19,15.0,3.0928,90.0,0.0,3.11155,-42.68306,172.288223,False,23.35,6.715476531895425,3.5162835416660414,1.3153,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL24,15.0,12.2084,90.0,0.0,12.0017,-42.656448,172.369751,False,23.35,6.9017030109192286,-35.28784256568264,-6.0204,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL14,15.0,6.0955,90.0,0.0,6.07493,-42.65683,172.368637,False,23.35,7.03100718506035,20.29935248327905,-5.8879,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
Kakapo_REL23,15.0,5.7831,90.0,0.0,5.67981,-42.667389,172.336258,False,23.35,6.584251623853184,6.840844728861924,-3.0057,260.0,ACTIVE_SHALLOW,15.0,15.0,0.0
